# Mol_Title	ID	SMILES
ZINC03814385	DUD_ar_A_1	O=c1cc(C(F)(F)F)c2cc3c(cc2[nH]1)NCCC3
ZINC03814419	DUD_ar_A_45	C#CC1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C
ZINC03814366	DUD_ar_A_46	CC12CC(O)C3C(CCC4=CC(=O)CCC43C)C1CCC2O
ZINC03814415	DUD_ar_A_47	C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C
ZINC03814394	DUD_ar_A_48	C#CC1(O)C=CC2C3CCC4=CC(=O)CCC4C3CCC21CC
ZINC03814395	DUD_ar_A_49	C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC
ZINC03814370	DUD_ar_A_50	CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2(O)C=CI
ZINC03814380	DUD_ar_A_51	CC=CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C
ZINC03814383	DUD_ar_A_52	CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
ZINC03814408	DUD_ar_A_53	CCC(=O)C1(C)CCC2C3CCC4=CC(=O)CCC4=C3CCC21C
ZINC03814424	DUD_ar_A_54	CC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC21C
ZINC03814426	DUD_ar_A_55	CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
ZINC03814371	DUD_ar_A_56	CC(=O)OC1(C(C)=O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC21C
ZINC03814362	DUD_ar_A_57	CC(O)(CBr)C(=O)Nc1ccc(C(F)(F)F)c([N+](=O)[O-])c1
ZINC03814365	DUD_ar_A_58	CC(O)(CI)C(=O)Nc1ccc(C(F)(F)F)c([N+](=O)[O-])c1
ZINC03814376	DUD_ar_A_59	O=c1cc(C(F)(F)F)c2cc3c(cc2[nH]1)NC1CCCCC31
ZINC03814374	DUD_ar_A_60	Cn1c(=O)cc(C(F)(F)F)c2cc3c(cc21)NC1CCCCC31
ZINC03814405	DUD_ar_A_61	CC1CCC2Nc3cc4[nH]c(=O)cc(C(F)(F)F)c4cc3C2C1
ZINC03814390	DUD_ar_A_62	CN1c2cc3c(cc2C2CCCCC21)c(C(F)(F)F)cc(=O)n3C
ZINC02007483	DUD_ar_A_63	CC1(C)C(=O)N(c2ccc(C#N)c(I)c2)C(=S)N1CCCCO
ZINC03814427	DUD_ar_A_64	CC(=O)OC(C(C)=O)C1(C)CCC2C(CC(C)C3=CC(=O)CCC32C)C1
ZINC03814430	DUD_ar_A_65	CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12
ZINC03814428	DUD_ar_A_66	CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2OC(=O)c1ccccc1
ZINC03814423	DUD_ar_A_67	CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C
ZINC03814363	DUD_ar_A_68	CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C
