# Mol_Title	ID	SMILES
ZINC00024487	DUD_ar_D_87	Cc1c(O)nc(NC2CCCC2)nc1Cc1c(F)cccc1F
ZINC00024490	DUD_ar_D_88	O=c1cc(Cc2c(F)cccc2F)nc(N2CCSCC2)[nH]1
ZINC00024490	DUD_ar_D_89	Oc1cc(Cc2c(F)cccc2F)nc(N2CCSCC2)n1
ZINC00024490	DUD_ar_D_90	O=c1cc(Cc2c(F)cccc2F)[nH]c(N2CCSCC2)n1
ZINC00026290	DUD_ar_D_91	O=C(OCCC1CCCCC1)N1CCc2[nH]cnc2C1
ZINC00026290	DUD_ar_D_92	O=C(OCCC1CCCCC1)N1CCc2[nH]c[nH+]c2C1
ZINC00026290	DUD_ar_D_93	O=C(OCCC1CCCCC1)N1CCc2nc[nH]c2C1
ZINC00026293	DUD_ar_D_94	O=C(OC1CCCCC1)N1CCc2nc[nH]c2CC1
ZINC00026293	DUD_ar_D_95	O=C(OC1CCCCC1)N1CCc2[nH]c[nH+]c2CC1
ZINC00026336	DUD_ar_D_96	CSc1sc(C(N)=O)c2c1-c1oncc1CCCCCCC2
ZINC00026624	DUD_ar_D_97	CC1CC(c2ccc(C(=O)OC3CCCC3)cc2)=NNC1=O
ZINC00026810	DUD_ar_D_98	COC(=O)C1CC2C3CCc4cc(O)ccc4C3CCC2(C)C1O
ZINC00027023	DUD_ar_D_99	CC(C)c1c(=O)[nH]c2ccc(Cl)cc2c1OC1CCCCC1
ZINC00028042	DUD_ar_D_100	CCOC(=O)C1=C(N)OC2=C(C(=O)CCC2)C1c1cc(C)ccc1C
ZINC00028128	DUD_ar_D_101	N#CC1=C(NC(=O)CCl)c2ccccc2CC12CCCC2
ZINC00028129	DUD_ar_D_102	N#CC1=C(NC(=O)CCl)c2ccccc2CC12CCCCC2
ZINC00028818	DUD_ar_D_103	Cc1ccsc1C=Nn1c(S)nnc1C1CCCCC1
ZINC00029868	DUD_ar_D_104	Cc1onc(-c2ccccc2Cl)c1C(=O)NC1CCCC1
ZINC00033528	DUD_ar_D_105	CC1(O)CCC2C3CCC4Cc5nocc5CC4(C)C3CCC21C
ZINC00034361	DUD_ar_D_106	COc1ccc(CC2C(=O)NC(=O)N(C3CCCCC3)C2=O)cc1
ZINC00034688	DUD_ar_D_107	ON=C1CCCCc2c3cc(C4CCCCC4)ccc3[nH]c21
ZINC00036714	DUD_ar_D_108	COC(=O)C1=C(N)OC2=C(C(=O)CC(C)(C)C2)C1c1cccs1
ZINC00036715	DUD_ar_D_109	COC(=O)C1=C(N)OC2=C(C(=O)CC(C)(C)C2)C1c1cccs1
ZINC00036831	DUD_ar_D_110	CCc1ccc2c3c(c(C)[nH]c31)CCN1C(=O)OC(C)(C)C21C
ZINC00036865	DUD_ar_D_111	Cc1cc(C)n(CNc2nc3c(s2)C(=O)CC(C)(C)C3)n1
ZINC00038009	DUD_ar_D_112	CCOC(=O)C1=C(C)N=C(O)NC1c1ccc2c(c1)OCO2
ZINC00038068	DUD_ar_D_113	CCc1c(C)[nH]c2c(-c3ccc(Cl)cc3)c(C)nn2c1=O
ZINC00038107	DUD_ar_D_114	Cc1ccc(Cl)c(C(=O)NC2=CC(=O)CC(C)(C)C2)c1
ZINC00038112	DUD_ar_D_115	Cc1nn2c([nH]c3c(c2=O)CCC3)c1-c1ccc(Cl)cc1
ZINC00038216	DUD_ar_D_116	Cc1cc(C=NO)c(C)n1-c1sc2c(c1C#N)CCCC2
ZINC00038787	DUD_ar_D_117	COC(=O)C1=C(N)OC2=C(C(=O)CC(C)(C)C2)C1c1ccccc1
ZINC00040723	DUD_ar_D_118	CCn1c(SCC=C(C)Cl)nc2c1c(=O)[nH]c(=O)n2C
ZINC00040795	DUD_ar_D_119	CC(=O)Nc1nc(C2CCSC(C)(C)C2)cs1
ZINC00040796	DUD_ar_D_120	CC(=O)Nc1nc(C2CCSC(C)(C)C2)cs1
ZINC00041064	DUD_ar_D_121	Cn1c2nc(N3CCCCC3)n(CCCl)c2c(=O)[nH]c1=O
ZINC00041573	DUD_ar_D_122	Cn1c2nc(N3CCCCCC3)n(CCCl)c2c(=O)[nH]c1=O
ZINC00041573	DUD_ar_D_123	Cn1c2[nH+]c(N3CCCCCC3)n(CCCl)c2c(=O)[nH]c1=O
ZINC00041923	DUD_ar_D_124	Cc1nc2c(sc3nc(C)c4c(c32)CCCC4)c(=O)[nH]1
ZINC00041923	DUD_ar_D_125	Cc1nc(=O)c2sc3nc(C)c4c(c3c2[nH]1)CCCC4
ZINC00041923	DUD_ar_D_126	Cc1nc2c(sc3nc(C)c4c(c32)CCCC4)c(O)n1
ZINC00042094	DUD_ar_D_127	Cc1ccc(NC(=S)NC2CCCCC2)cc1C#N
ZINC00042827	DUD_ar_D_128	CCSc1nc2c(c(=O)[nH]c(=O)n2C)n1Cc1cccc(C)c1
ZINC00043198	DUD_ar_D_129	COC(=O)c1ccc(NC(=O)C2CC3CCC2C3)cc1
ZINC00043471	DUD_ar_D_130	CC(C)OC(=O)NS(=O)(=O)c1ccc(CCCl)cc1
ZINC00043623	DUD_ar_D_131	COC(=O)C1=C(N)OC2=C(C(=O)CCC2)C1c1ccc(OC)cc1
ZINC00043624	DUD_ar_D_132	COC(=O)C1=C(N)OC2=C(C(=O)CCC2)C1c1ccc(OC)cc1
ZINC00043652	DUD_ar_D_133	CCOC(=O)C1=C(N)OC2=C(C(=O)CCC2)C1c1ccc(F)cc1
ZINC00044392	DUD_ar_D_134	COc1cc2c(ccc3c2CCc2c[nH]nc2-3)c(OC)c1OC
ZINC00045271	DUD_ar_D_135	Cc1ccc(S(=O)(=O)NN=C2CC3CCC2(C)C3(C)C)cc1
ZINC00046924	DUD_ar_D_136	Cc1ccc2nc(NC(=O)OC(C)(C)C)sc2c1
ZINC00048753	DUD_ar_D_137	CNC(=O)c1c2c(sc1NC(=O)c1cccs1)CCCC2
ZINC00050054	DUD_ar_D_138	COc1ccc(-c2c(C#N)c(=S)[nH]c3c2CCCC3)cc1
ZINC00050189	DUD_ar_D_139	Cc1cc(C)c(NC2=CC(=O)CC(C)(C)C2)c(C#N)c1
ZINC00050663	DUD_ar_D_140	CC(=O)Oc1cccc(N2C(C)=CC(C)(C)NC2=S)c1
ZINC00052462	DUD_ar_D_141	Cc1cc(-c2ccc(N(C)C)cc2)c(C#N)c(=S)[nH]1
ZINC00053243	DUD_ar_D_142	CCOC(=O)C1=C(C)N(C)C(=O)N(C)C1c1ccc(O)cc1
ZINC00054362	DUD_ar_D_143	CCc1ccc(C2c3c(C)n[nH]c3CC(C)(O)C2C(C)=O)cc1
ZINC00055395	DUD_ar_D_144	COc1ccccc1C1Nc2sc3c(c2C(=O)N1)CCCC3
ZINC00061401	DUD_ar_D_145	CCOC(=O)C1=C(N)OC2=C(C(=O)CCC2)C1c1ccccc1F
ZINC00061402	DUD_ar_D_146	CCOC(=O)C1=C(N)OC2=C(C(=O)CCC2)C1c1cccs1
ZINC00061403	DUD_ar_D_147	CCOC(=O)C1=C(N)OC2=C(C(=O)CCC2)C1c1cccs1
ZINC00061405	DUD_ar_D_148	CCOC(=O)C1=C(N)OC2=C(C(=O)CCC2)C1c1sccc1C
ZINC00061915	DUD_ar_D_149	COc1cc(C2NC(=S)NC(C)=C2C(C)=O)ccc1O
ZINC00061916	DUD_ar_D_150	COc1cc(C2NC(=S)NC(C)=C2C(C)=O)ccc1O
ZINC00062066	DUD_ar_D_151	CC(C)CCOc1ccc(C2(C)NC(=O)N(C)C2=O)cc1
ZINC00062220	DUD_ar_D_152	COC(=O)C1=C(N)OC2=C(C(=O)CC(C)(C)C2)C1c1ccccc1F
ZINC00062222	DUD_ar_D_153	COC(=O)C1=C(N)OC2=C(C(=O)CC(C)(C)C2)C1c1cccc(F)c1
ZINC00062223	DUD_ar_D_154	COC(=O)C1=C(N)OC2=C(C(=O)CC(C)(C)C2)C1c1cccc(F)c1
ZINC00062224	DUD_ar_D_155	COC(=O)C1=C(N)OC2=C(C(=O)CCC2)C1c1cccc(F)c1
ZINC00062225	DUD_ar_D_156	COC(=O)C1=C(N)OC2=C(C(=O)CCC2)C1c1cccc(F)c1
ZINC00062226	DUD_ar_D_157	COC(=O)C1=C(N)OC2=C(C(=O)CCC2)C1c1ccc(Cl)cc1
ZINC00062227	DUD_ar_D_158	COC(=O)C1=C(N)OC2=C(C(=O)CCC2)C1c1ccc(Cl)cc1
ZINC00062228	DUD_ar_D_159	COC(=O)C1=C(N)OC2=C(C(=O)CCC2)C1c1ccccc1F
ZINC00062229	DUD_ar_D_160	COC(=O)C1=C(N)OC2=C(C(=O)CCC2)C1c1ccccc1F
ZINC00062230	DUD_ar_D_161	COC(=O)C1=C(N)OC2=C(C(=O)CCC2)C1c1cccs1
ZINC00062231	DUD_ar_D_162	COC(=O)C1=C(N)OC2=C(C(=O)CCC2)C1c1cccs1
ZINC00062786	DUD_ar_D_163	Cc1cccc(N=C2NC(=S)N(CC#N)C23CCCCC3)c1
ZINC00063604	DUD_ar_D_164	CCOC(=O)C1=C(C)NC(=S)NC1c1ccc(O)cc1
ZINC00066325	DUD_ar_D_165	Cc1ccc(NC(=S)N2CCC(O)CC2)c(C)c1
ZINC00067855	DUD_ar_D_166	CC(C)=CCSc1nc(=O)c2c3c(sc2[nH]1)CCCC3
ZINC00068415	DUD_ar_D_167	COc1ccc(-c2nc(=O)c3c4c(sc3[nH]2)CCCC4)cc1OC
ZINC00068561	DUD_ar_D_168	CC(C)(C)C(=O)Nc1ncnc2sc3c(c21)CCCC3
ZINC00068992	DUD_ar_D_169	C=CCn1c(=S)[nH]nc1-c1ccc(C(C)(C)C)cc1
ZINC00069420	DUD_ar_D_170	COc1cc2[nH]c(=O)n(C3CCCCC3)c(=O)c2cc1OC
ZINC00071456	DUD_ar_D_171	COc1ccc(-c2n[nH]c(=S)n2C2CCCCC2)cc1
ZINC00071470	DUD_ar_D_172	CCOc1ccc(-c2n[nH]c(=S)n2C2CCCCC2)cc1
ZINC00071757	DUD_ar_D_173	CC1=C(C(N)=O)C(c2ccc(C(C)C)cc2)NC(=S)N1
ZINC00071761	DUD_ar_D_174	CC1=C(C(N)=O)C(c2ccc(C(C)C)cc2)NC(=S)N1
ZINC00072679	DUD_ar_D_175	COc1cc(C2NC(=S)NC(C)=C2C(=O)OC(C)C)ccc1O
ZINC00073647	DUD_ar_D_176	COc1cc(C(=O)OC2CC3CCC2(C)C3(C)C)ccc1O
ZINC00074394	DUD_ar_D_177	Cc1ccc(NC(=O)c2c(N)sc3c2CCCC3)cc1C
ZINC00075510	DUD_ar_D_178	CCOC(=O)C1=C(C)C(c2ccc(N(C)C)cc2Cl)NC(=O)N1
ZINC00075516	DUD_ar_D_179	CCOC(=O)C1=C(C)C(c2ccc(N(C)C)cc2Cl)NC(=O)N1
ZINC00075963	DUD_ar_D_180	COc1ccc(-c2c(C#N)c(=S)[nH]c3c2CCCCC3)cc1
ZINC00078710	DUD_ar_D_181	CCOc1ccc(C2NC(=O)N(C)C(C)=C2[N+](=O)[O-])cc1OC
ZINC00078715	DUD_ar_D_182	CCOc1ccc(C2NC(=O)N(C)C(C)=C2[N+](=O)[O-])cc1OC
ZINC00079066	DUD_ar_D_183	Cc1cc(C)n(NC(=S)NC2CCCC2)c(=O)c1C#N
ZINC00079835	DUD_ar_D_184	COc1ccc(Cl)cc1S(=O)(=O)NC1CCCCCC1
ZINC00079843	DUD_ar_D_185	Cc1ccc(S(=O)(=O)NC2CCCCCC2)c(C)c1C
ZINC00079851	DUD_ar_D_186	COc1cc(S(=O)(=O)NC2CCCCCC2)ccc1Cl
ZINC00079876	DUD_ar_D_187	CC(=O)C1C(c2ccc(C)cc2)c2c(C)n[nH]c2CC1(C)O
ZINC00079905	DUD_ar_D_188	Cc1ccc([N+](=O)[O-])cc1NC(=O)C1C2C1C1CCC2C1
ZINC00080314	DUD_ar_D_189	COc1cccc(C2CC(=O)Nc3cc(C)c(C)cc32)c1OC
ZINC00080318	DUD_ar_D_190	COc1cccc(C2CC(=O)Nc3cc(C)c(C)cc32)c1OC
ZINC00080358	DUD_ar_D_191	CCCc1nc2sc3c(ncnc3O)c2c2c1COC(C)(C)C2
ZINC00080364	DUD_ar_D_192	CC(C)Cc1nc2sc3c(ncnc3O)c2c2c1COC(C)(C)C2
ZINC00080469	DUD_ar_D_193	CCOC(=O)NC(=S)Nc1ccsc1C(=O)OC
ZINC00082421	DUD_ar_D_194	CNC(=O)C1=C(C)NC(=S)NC1c1ccc(OC)cc1
ZINC00082426	DUD_ar_D_195	CNC(=O)C1=C(C)NC(=S)NC1c1ccc(OC)cc1
ZINC00082904	DUD_ar_D_196	CCOc1ccc(-c2n[nH]c(=S)n2C2C=CCCC2)cc1
ZINC00083226	DUD_ar_D_197	CNC(=O)C1=C(C)NC(=S)NC1c1ccc(OC)c(OC)c1
ZINC00083233	DUD_ar_D_198	CNC(=O)C1=C(C)NC(=S)NC1c1ccc(OC)c(OC)c1
ZINC00083239	DUD_ar_D_199	CNC(=O)C1=C(C)NC(=S)NC1c1cccc(OC)c1OC
ZINC00083244	DUD_ar_D_200	CNC(=O)C1=C(C)NC(=S)NC1c1cccc(OC)c1OC
ZINC00083249	DUD_ar_D_201	CNC(=O)C1=C(C)NC(=S)NC1c1ccc(OC)cc1OC
ZINC00083254	DUD_ar_D_202	CNC(=O)C1=C(C)NC(=S)NC1c1ccc(OC)cc1OC
ZINC00083260	DUD_ar_D_203	CNC(=O)C1=C(C)NC(=S)NC1c1cc(OC)ccc1OC
ZINC00083265	DUD_ar_D_204	CNC(=O)C1=C(C)NC(=S)NC1c1cc(OC)ccc1OC
ZINC00083270	DUD_ar_D_205	CNC(=O)C1=C(C)NC(=S)NC1c1ccc(O)c(OC)c1
ZINC00083276	DUD_ar_D_206	CNC(=O)C1=C(C)NC(=S)NC1c1ccc(O)c(OC)c1
ZINC00083282	DUD_ar_D_207	CCOc1cc(C2NC(=S)NC(C)=C2C(=O)NC)ccc1O
ZINC00083325	DUD_ar_D_208	CNC(=O)C1=C(C)NC(=S)NC1c1cc(C)c(OC)cc1C
ZINC00084636	DUD_ar_D_209	CCOC(=O)C1=C(C)N=C(S)NC1c1ccc2c(c1)OCO2
ZINC00084640	DUD_ar_D_210	CCOC(=O)C1=C(C)N=C(S)NC1c1ccc2c(c1)OCO2
ZINC00085462	DUD_ar_D_211	CC(C)(C)Nc1ncnc2c3cc4c(nc3sc21)CC(C)(C)OC4
ZINC00085510	DUD_ar_D_212	CCOC(=O)Nc1nc2sc3c(c2s1)CCCC3
ZINC00086250	DUD_ar_D_213	Cc1cc(C=C2C(=O)NC(=S)NC2=O)c(C)n1C1CCCCC1
ZINC00086529	DUD_ar_D_214	Cc1cc2c3nnc(SC(C)C)nc3[nH]c2c(C)c1
ZINC00087485	DUD_ar_D_215	Cc1nc2scc(-c3ccc(C(C)(C)C)cc3)c2c(=O)n1N
ZINC00088900	DUD_ar_D_216	Cc1cc2c(cc1C)C(c1cc3c(cc1Cl)OCO3)CC(=O)N2
ZINC00088901	DUD_ar_D_217	Cc1cc2c(cc1C)C(c1cc3c(cc1Cl)OCO3)CC(=O)N2
ZINC00089977	DUD_ar_D_218	CCOC(=O)c1sc(=S)n(-c2cc(C)ccc2C)c1N
ZINC00090075	DUD_ar_D_219	Cc1cc(N)n(-c2nc(C)nc3sc4c(c32)CCC(C)C4)c1
ZINC00090078	DUD_ar_D_220	Cc1cc(N)n(-c2nc(C)nc3sc4c(c32)CCC(C)C4)c1
ZINC00091493	DUD_ar_D_221	CCOC(=O)c1cnn(-c2ncnc3sc(C)c(C)c32)c1N
ZINC00091762	DUD_ar_D_222	Cc1cc(=O)oc2n[nH]c(CSc3cc(C)c(Cl)cc3C)c21
ZINC00092882	DUD_ar_D_223	Cc1cc(NC(=O)c2scc3c2CCCC3)cc(C)c1O
ZINC00093427	DUD_ar_D_224	CC(=O)c1c(C)n(-c2cc(C)c(C)cc2N)c(C)c1C(C)=O
ZINC00093430	DUD_ar_D_225	Cc1c2c(c(C)n1-c1ccc(C)c(N)c1)c(C)nnc2C
ZINC00094271	DUD_ar_D_226	Cc1c(NC(=O)c2ccco2)cc2c(c1[N+](=O)[O-])C(C)(C)CC2(C)C
ZINC00094456	DUD_ar_D_227	Cc1c(Cl)cccc1NCc1nnc2n1CCCCC2
ZINC00094889	DUD_ar_D_228	COc1cccc(C2CC(=O)Nc3cc4c(cc32)CCC4)c1OC
ZINC00094891	DUD_ar_D_229	COc1cccc(C2CC(=O)Nc3cc4c(cc32)CCC4)c1OC
ZINC00094999	DUD_ar_D_230	Cc1onc(-c2ccccc2Cl)c1C(=O)NC1CCCCCC1
ZINC00096514	DUD_ar_D_231	COC(=O)C1=C(N)OC2=C(C(=O)CC(C)(C)C2)C1c1cccc(C)c1
ZINC00096517	DUD_ar_D_232	COC(=O)C1=C(N)OC2=C(C(=O)CC(C)(C)C2)C1c1cccc(C)c1
ZINC00099699	DUD_ar_D_233	COc1ccc2[nH]c(C)c3c2c1C1(C)N(CC3)C(=O)OC1(C)C
ZINC00099702	DUD_ar_D_234	COc1ccc2[nH]c(C)c3c2c1C1(C)N(CC3)C(=O)OC1(C)C
ZINC00100004	DUD_ar_D_235	C=CCn1c(=O)c2c3c(sc2[nH]c1=S)COC(C(C)C)C3
ZINC00100006	DUD_ar_D_236	C=CCn1c(=O)c2c3c(sc2[nH]c1=S)COC(C(C)C)C3
ZINC00100028	DUD_ar_D_237	CSc1nc2sc3c(c2c(N)n1)CC(C(C)C)OC3
ZINC00100032	DUD_ar_D_238	CSc1nc2sc3c(c2c(N)n1)CC(C(C)C)OC3
ZINC00102050	DUD_ar_D_239	Cc1ccc(C(=O)NC2CCCCCC2)cc1[N+](=O)[O-]
