# Mol_Title	ID	SMILES
ZINC00003015	DUD_ace_D_1	CC(NC(=O)c1ccccc1SC(=O)NC(C)(C)C)C(N)=O
ZINC00313690	DUD_ace_D_30	Cc1ccc(S(=O)(=O)N(CC(N)=O)Cc2ccc(F)cc2)cc1
ZINC00324189	DUD_ace_D_31	O=C([O-])C(CCC(=O)N1CCCC1)N1C(=O)c2ccccc2C1=O
ZINC00326099	DUD_ace_D_32	CCCN(CC(=O)Nc1cc(C)on1)C(=O)Nc1cccc(F)c1
ZINC00326157	DUD_ace_D_33	CCCN(CC(=O)Nc1ccon1)C(=O)Nc1ccccc1F
ZINC00326163	DUD_ace_D_34	CCCN(CC(=O)Nc1ccon1)C(=O)Nc1ccc(SC)cc1
ZINC00326170	DUD_ace_D_35	CCCN(CC(=O)Nc1ccon1)C(=O)Nc1cccc(F)c1
ZINC00326554	DUD_ace_D_36	CCC(C)N(CC(=O)Nc1ccon1)C(=O)Cc1cccs1
ZINC00344564	DUD_ace_D_37	CCOC(=O)Cc1nnc(NC(=O)Nc2ccccc2)s1
ZINC00360365	DUD_ace_D_38	CCOc1cc(C(=O)[O-])ccc1OCC(=O)NCc1ccccc1
ZINC00375139	DUD_ace_D_39	Cc1c(Cl)cnn1C(C)C(=O)NCCn1cc([N+](=O)[O-])cn1
ZINC00376431	DUD_ace_D_40	NC(=O)CN(C1CCCCC1)S(=O)(=O)c1ccc(Cl)cc1
ZINC00379122	DUD_ace_D_41	CCOc1ccc(S(=O)(=O)N(CC(N)=O)c2ccc(C)cc2)cc1
ZINC00379130	DUD_ace_D_42	CC(C)c1ccc(N(CC(N)=O)S(=O)(=O)c2ccccc2)cc1
ZINC00379665	DUD_ace_D_43	COc1cccc(N(CC(N)=O)S(=O)(=O)c2ccc(C)cc2)c1
ZINC00379835	DUD_ace_D_44	CCOc1ccccc1N(CC(N)=O)S(=O)(=O)c1ccc(C)cc1
ZINC00379841	DUD_ace_D_45	COc1ccc(N(CC(N)=O)S(=O)(=O)c2ccc(C)cc2)cc1
ZINC00382800	DUD_ace_D_46	CCN(CC)C(=O)CSc1nc(N)c(-c2ccccc2)c(O)n1
ZINC00386460	DUD_ace_D_47	COc1ccc(CNC(=O)CSc2ncnc3nc[nH]c32)cc1
ZINC00410679	DUD_ace_D_48	CCn1c(CNc2c(C)cccc2C)nnc1SCC(N)=O
ZINC00412457	DUD_ace_D_49	NC(=O)CSc1nnc(COc2ccccc2)n1CC1CCCO1
ZINC00412458	DUD_ace_D_50	NC(=O)CSc1nnc(COc2ccccc2)n1CC1CCCO1
ZINC00416578	DUD_ace_D_51	Cc1ccc(OCc2nnc(NC(=O)CCC(=O)[O-])s2)cc1
ZINC00416719	DUD_ace_D_52	CC(=O)NCC(=O)Nc1cc(NC(=O)c2cccs2)ccc1C
ZINC00416832	DUD_ace_D_53	O=C(CSc1nnc(-c2ccc(O)cc2)o1)NC1CCCC1
ZINC00416834	DUD_ace_D_54	CC(C)N(C(=O)CSc1nnc(-c2ccc(O)cc2)o1)C(C)C
ZINC00416839	DUD_ace_D_55	CC(C)(C)NC(=O)CSc1nnc(-c2ccc(O)cc2)o1
ZINC00418612	DUD_ace_D_56	CC(C)(C)c1ccc(OCc2nnc(SCC(N)=O)o2)cc1
ZINC00418617	DUD_ace_D_57	Cc1cc(C)cc(OCc2nnc(SCC(N)=O)o2)c1
ZINC00419039	DUD_ace_D_58	COc1cccc(OCc2nnc(SCC(N)=O)n2C)c1
ZINC00419051	DUD_ace_D_59	CCn1c(COc2cccc(OC)c2)nnc1SCC(N)=O
ZINC00419154	DUD_ace_D_60	CCn1c(COc2ccc(Cl)c(C)c2)nnc1SCC(N)=O
ZINC00419159	DUD_ace_D_61	CCc1ccc(OCc2nnc(SCC(N)=O)n2CC)cc1
ZINC00419245	DUD_ace_D_62	CCn1c(COc2ccc(C)cc2)nnc1SCC(N)=O
ZINC00419259	DUD_ace_D_63	CCn1c(COc2ccccc2)nnc1SCC(N)=O
ZINC00419278	DUD_ace_D_64	CCn1c(COc2cccc(C)c2)nnc1SCC(N)=O
ZINC00419288	DUD_ace_D_65	CCn1c(COc2ccccc2C)nnc1SCC(N)=O
ZINC00419620	DUD_ace_D_66	CCn1c(COc2ccccc2OC)nnc1SCC(N)=O
ZINC00419626	DUD_ace_D_67	COc1ccccc1OCc1nnc(SCC(N)=O)n1C
ZINC00420479	DUD_ace_D_68	Cc1ccccc1OCc1nnc(SCC(N)=O)n1C
ZINC00420510	DUD_ace_D_69	Cc1cc(OCc2nnc(SCC(N)=O)n2C)ccc1Cl
ZINC00420580	DUD_ace_D_70	Cc1ccc(OCc2nnc(SCC(N)=O)n2C)cc1
ZINC00420614	DUD_ace_D_71	Cc1cccc(OCc2nnc(SCC(N)=O)n2C)c1
ZINC00420634	DUD_ace_D_72	Cn1c(CCc2nc3ccccc3[nH]2)nnc1SCC(N)=O
ZINC00420707	DUD_ace_D_73	Cn1c2nc(SCC(=O)NCc3ccco3)[nH]c2c(=O)n(C)c1=O
ZINC00420707	DUD_ace_D_74	Cn1c2[nH]c(SCC(=O)NCc3ccco3)nc2c(=O)n(C)c1=O
ZINC00420707	DUD_ace_D_75	Cn1c2[nH+]c(SCC(=O)NCc3ccco3)[nH]c2c(=O)n(C)c1=O
ZINC00420955	DUD_ace_D_76	COc1ccccc1-c1nnc(SCC(N)=O)n1Cc1ccco1
ZINC00420965	DUD_ace_D_77	CCOC(=O)c1cnc(SCC(=O)NCc2ccco2)nc1N
ZINC00421340	DUD_ace_D_78	CCc1ccc(OCc2nnc(SCC(N)=O)o2)cc1
ZINC00421421	DUD_ace_D_79	CCn1c(COc2ccc(Cl)cc2)nnc1SCC(N)=O
ZINC00421567	DUD_ace_D_80	COc1ccc(OCc2nnc(SCC(N)=O)n2C)cc1
ZINC00421574	DUD_ace_D_81	CCn1c(CNc2ccc(F)cc2)nnc1SCC(N)=O
ZINC00421600	DUD_ace_D_82	Cc1cc(SCC(N)=O)nc(SCC(=O)c2ccccc2)n1
ZINC00422014	DUD_ace_D_83	COc1ccc(NCc2nnc(SCC(N)=O)n2C)cc1
ZINC00422054	DUD_ace_D_84	Cc1ccc(NCc2nnc(SCC(N)=O)n2C)cc1
ZINC00422097	DUD_ace_D_85	CCn1c(CNc2ccccc2Cl)nnc1SCC(N)=O
ZINC00422256	DUD_ace_D_86	CCn1c(COc2ccc(OC)cc2)nnc1SCC(N)=O
ZINC00422468	DUD_ace_D_87	CCn1c(CNc2ccc(C)cc2)nnc1SCC(N)=O
ZINC00423021	DUD_ace_D_88	COc1ccc(CNC(=O)Cn2c(=O)[nH]c3ccsc3c2=O)cc1
ZINC00424869	DUD_ace_D_89	CCC(C)C1N=C2c3ccccc3N=C(SCC(N)=O)N2C1=O
ZINC00424870	DUD_ace_D_90	CCC(C)C1N=C2c3ccccc3N=C(SCC(N)=O)N2C1=O
ZINC00424871	DUD_ace_D_91	CCC(C)C1N=C2c3ccccc3N=C(SCC(N)=O)N2C1=O
ZINC00424872	DUD_ace_D_92	CCC(C)C1N=C2c3ccccc3N=C(SCC(N)=O)N2C1=O
ZINC00454623	DUD_ace_D_93	CCOC(=O)c1ccc(CNC(=O)CCC(=O)[O-])cc1
ZINC00466617	DUD_ace_D_94	C=CCn1c(SCC(N)=O)nc2scc(-c3ccco3)c2c1=O
ZINC00468137	DUD_ace_D_95	Cc1cc(=O)[nH]c(SCC(=O)NCCc2ccccc2)n1
ZINC00468137	DUD_ace_D_96	Cc1cc(O)nc(SCC(=O)NCCc2ccccc2)n1
ZINC00468137	DUD_ace_D_97	Cc1cc(O)nc(SCC(=O)NCCc2ccccc2)n1
ZINC00496243	DUD_ace_D_98	CC(C)COC(=O)n1c2ccccc2nc1SCC(N)=O
ZINC00496243	DUD_ace_D_99	CC(C)COC(=O)n1c2ccccc2[nH+]c1SCC(N)=O
ZINC00498511	DUD_ace_D_100	CCc1ccc(C=Nn2cnnc2SCC(N)=O)cc1
ZINC00510176	DUD_ace_D_101	CC(C)C(=O)Nc1nnc(CC(=O)NCc2ccccc2)s1
ZINC00524985	DUD_ace_D_102	Cc1sc2nc(SCC(N)=O)n(Cc3ccco3)c(=O)c2c1C
ZINC00536933	DUD_ace_D_103	CCc1nnc(NC(=O)CCC(=O)NCc2ccccc2)s1
ZINC00537576	DUD_ace_D_104	CC(C)COn1c(SCC(N)=O)nc2ccccc2c1=O
ZINC00538768	DUD_ace_D_105	CCc1nnc(NC(=O)CCC(=O)NCc2ccco2)s1
ZINC00538872	DUD_ace_D_106	CCc1nnc(NC(=O)CCC(=O)NCc2ccccn2)s1
ZINC00539683	DUD_ace_D_107	CC(C)COn1c(SC(C)C(N)=O)nc2ccccc2c1=O
ZINC00539684	DUD_ace_D_108	CC(C)COn1c(SC(C)C(N)=O)nc2ccccc2c1=O
ZINC00540205	DUD_ace_D_109	CC(C)c1nnc(NC(=O)CCC(=O)NCc2ccco2)s1
ZINC00540639	DUD_ace_D_110	Cc1nnc(NC(=O)CCC(=O)NCc2ccco2)s1
ZINC00541471	DUD_ace_D_111	CCCc1nnc(NC(=O)CCC(=O)NCc2ccco2)s1
ZINC00541521	DUD_ace_D_112	Cc1nnc(NC(=O)CCC(=O)NCc2ccccc2)s1
ZINC00543281	DUD_ace_D_113	Cc1nnc(NC(=O)CCC(=O)NCc2ccccn2)s1
ZINC00544608	DUD_ace_D_114	CC(C)(C)NC(=O)CSc1nnnn1-c1ccc(O)cc1
ZINC00547939	DUD_ace_D_115	NC(=O)CSc1nc2ccccc2c(=O)n1CC1CCCCC1
ZINC00557304	DUD_ace_D_116	Cc1oc2nc(SCC(=O)NCc3cccnc3)nc(N)c2c1C
ZINC00567040	DUD_ace_D_117	COc1ccc(N(CC(N)=O)S(=O)(=O)c2ccc(F)cc2)cc1
ZINC00571039	DUD_ace_D_118	Cc1nnc(SCC(N)=O)n1N=Cc1ccc(C)cc1
ZINC00591590	DUD_ace_D_119	CC(C)(C)CC(NS(=O)(=O)Cc1ccc2sccc2c1)C(=O)NO
ZINC00591591	DUD_ace_D_120	CC(C)(C)C(NS(=O)(=O)Cc1ccc2sccc2c1)C(=O)NO
ZINC00602375	DUD_ace_D_121	COc1ccc(C(CC(N)=O)N2C(=O)c3ccccc3C2=O)cc1OC
ZINC00610255	DUD_ace_D_122	COc1ccc(NC(=O)NCc2ccc(C(=O)[O-])cc2)c(OC)c1
ZINC00613281	DUD_ace_D_123	CCOc1ccc(Cc2nnc(SCC(N)=O)n2C)cc1
ZINC00614285	DUD_ace_D_124	Cc1cc(C(=O)[O-])ccc1NC(=O)CNC(=O)C1CCCCC1
ZINC00622456	DUD_ace_D_125	Cn1c2nc(SCC(N)=O)n(Cc3ccccc3)c2c(=O)n(C)c1=O
ZINC00625453	DUD_ace_D_126	Cn1c2nc(SCC(N)=O)n(Cc3ccccc3Cl)c2c(=O)n(C)c1=O
ZINC00625453	DUD_ace_D_127	Cn1c2[nH+]c(SCC(N)=O)n(Cc3ccccc3Cl)c2c(=O)n(C)c1=O
ZINC00652448	DUD_ace_D_128	COc1ccc(N(CC(N)=O)S(=O)(=O)c2ccc(C)cc2)cc1Cl
ZINC00800020	DUD_ace_D_129	O=C([O-])c1cccc(NC(C(=O)NCC2CCCO2)c2cccs2)c1
ZINC00800021	DUD_ace_D_130	O=C([O-])c1cccc(NC(C(=O)NCC2CCCO2)c2cccs2)c1
ZINC00800022	DUD_ace_D_131	O=C([O-])c1cccc(NC(C(=O)NCC2CCCO2)c2cccs2)c1
ZINC00800023	DUD_ace_D_132	O=C([O-])c1cccc(NC(C(=O)NCC2CCCO2)c2cccs2)c1
ZINC00808158	DUD_ace_D_133	O=C([O-])C1CC=CCC1C(=O)NCCc1ccncc1
ZINC00808159	DUD_ace_D_134	O=C([O-])C1CC=CCC1C(=O)NCCc1ccncc1
ZINC00808160	DUD_ace_D_135	O=C([O-])C1CC=CCC1C(=O)NCCc1ccncc1
ZINC00808161	DUD_ace_D_136	O=C([O-])C1CC=CCC1C(=O)NCCc1ccncc1
ZINC00813601	DUD_ace_D_137	CN(C)c1ccc(CN2CC34C=CC(O3)C(C(=O)[O-])C4C2=O)cc1
ZINC00822453	DUD_ace_D_138	COc1ccc(C=NNC(=O)Nc2cccc3nsnc32)c(OC)c1
ZINC00824182	DUD_ace_D_139	CCOc1ccc(N(CC(N)=O)S(=O)(=O)c2ccc(SC)cc2)cc1
ZINC00827458	DUD_ace_D_140	CSc1ccc(S(=O)(=O)N(CC(N)=O)c2ccc(C)cc2)cc1
ZINC00857990	DUD_ace_D_141	CCOc1ccc(N(CC(N)=O)S(=O)(=O)c2ccc(Cl)cc2)cc1
ZINC00904437	DUD_ace_D_142	NC(=O)CSc1nnc(Cc2ccccc2)n1CC1CCCO1
ZINC00904439	DUD_ace_D_143	NC(=O)CSc1nnc(Cc2ccccc2)n1CC1CCCO1
ZINC00930530	DUD_ace_D_144	Cn1c2nc(SCC(N)=O)n(Cc3ccc(F)cc3)c2c(=O)n(C)c1=O
ZINC00972349	DUD_ace_D_145	COc1ccc(S(=O)(=O)N(CC(N)=O)c2ccc(C)cc2)cc1Br
ZINC00983044	DUD_ace_D_146	O=C(CNS(=O)(=O)c1ccc(Cl)cc1)NCC1CCCO1
ZINC00998160	DUD_ace_D_147	C=CCn1c(CNc2ccccc2)nnc1SCC(N)=O
ZINC01050797	DUD_ace_D_148	COc1ccc(C)cc1S(=O)(=O)N(CC(N)=O)c1ccc(Cl)cc1
ZINC01061869	DUD_ace_D_149	C=CCn1c(COc2ccccc2C)nnc1SCC(N)=O
ZINC01066642	DUD_ace_D_150	Cc1ccc(C(=O)CC2(O)c3ccccc3N(CC(N)=O)C2=O)s1
ZINC01076662	DUD_ace_D_151	CCOc1ccc(N(CC(N)=O)S(=O)(=O)c2ccc(F)cc2)cc1
ZINC01077063	DUD_ace_D_152	C=CCn1c(SCC(N)=O)nnc1-c1ccc(OC)cc1
ZINC01080659	DUD_ace_D_153	COc1ccc(F)cc1S(=O)(=O)NC(Cc1ccccc1)C(N)=O
ZINC01093671	DUD_ace_D_154	Cc1ccc(CN(CC(N)=O)S(=O)(=O)c2ccc(Cl)cc2)cc1
ZINC01100427	DUD_ace_D_155	C=CCn1c(SCC(N)=O)nc2scc(-c3ccc(C)o3)c2c1=O
ZINC01108984	DUD_ace_D_156	Cc1cc(Cl)c(S(=O)(=O)N2CCc3ccccc32)cc1OCC(N)=O
ZINC01122676	DUD_ace_D_157	CC(C)NC(=O)CSc1nc(-c2ccccc2)cc(=O)[nH]1
ZINC01122676	DUD_ace_D_158	CC(C)NC(=O)CSc1nc(O)cc(-c2ccccc2)n1
ZINC01122676	DUD_ace_D_159	CC(C)NC(=O)CSc1nc(=O)cc(-c2ccccc2)[nH]1
ZINC01135326	DUD_ace_D_160	Cc1ccc(S(=O)(=O)N(CC(N)=O)Cc2cccc(Cl)c2)cc1
ZINC01141626	DUD_ace_D_161	Cc1ccc(N(CC(N)=O)S(=O)(=O)c2ccc(Cl)cc2)cc1C
ZINC01142076	DUD_ace_D_162	CCOc1ccccc1N(CC(N)=O)S(=O)(=O)c1ccc(Cl)cc1
ZINC01147567	DUD_ace_D_163	COc1cc(C=C2C(=O)N(C)C(=S)N(C)C2=O)ccc1OCC(N)=O
ZINC01164029	DUD_ace_D_164	Cc1cccc(CN(CC(N)=O)S(=O)(=O)c2ccc(Cl)cc2)c1
ZINC01298539	DUD_ace_D_165	O=C(COc1ccccc1C=C1SC(=O)NC1=O)N1CCCCC1
ZINC01301218	DUD_ace_D_166	CN(C)c1ccc(CN2CC34C=CC(O3)C(C(=O)[O-])C4C2=O)cc1
ZINC01326611	DUD_ace_D_167	O=C([O-])CCC(=O)N1CCC(c2nc3cc(Cl)ccc3[nH]2)CC1
ZINC01332221	DUD_ace_D_168	COc1ccc(-c2ccc(SCC(N)=O)nn2)cc1OC
ZINC01414582	DUD_ace_D_169	CCOC(=O)c1c(SCC(N)=O)nc2n1C=CC1C=CC=CC21
ZINC01443612	DUD_ace_D_170	Cc1nc(SCC(=O)NCc2ccco2)[nH]c(=O)c1C
ZINC01443612	DUD_ace_D_171	Cc1[nH]c(SCC(=O)NCc2ccco2)nc(=O)c1C
ZINC01443612	DUD_ace_D_172	Cc1nc(SCC(=O)NCc2ccco2)nc(O)c1C
ZINC01483276	DUD_ace_D_173	CC1(C)SC2C(C(O)C(=O)c3cccc4ccccc43)C(=O)N2C1C(=O)[O-]
ZINC01493282	DUD_ace_D_174	CC(O)C1C(=O)N2C(C(=O)[O-])=C(SC(C(=O)N(C)C)c3cccnc3)CC12
ZINC01496539	DUD_ace_D_175	COc1cc(OC)nc(Oc2ccccc2C(=O)NCC(N)=O)n1
ZINC01496564	DUD_ace_D_176	COc1cc(OC)nc(Oc2ccccc2C(=O)NC(C)C(N)=O)n1
ZINC01509623	DUD_ace_D_177	CCOC(=O)c1csc(NC(=O)Nc2cccc(OC)c2)n1
ZINC01529246	DUD_ace_D_178	O=C([O-])C1CCCN1C(=O)CNC(=O)OCc1ccccc1
ZINC01530711	DUD_ace_D_179	COc1cccc(OC)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-]
ZINC01535872	DUD_ace_D_180	CC(NC(=O)C(CS)C(C)c1ccc(O)cc1)C(=O)[O-]
ZINC01535875	DUD_ace_D_181	CC(=O)SCC(C(=O)NCC(=O)[O-])C(C)c1ccccc1
ZINC01535876	DUD_ace_D_182	CC(=O)SCC(C(=O)NC(C)C(=O)[O-])C(C)c1ccccc1
ZINC01535879	DUD_ace_D_183	CC(=O)SCC(C(=O)NC(C)C(=O)[O-])C(C)c1ccc(O)cc1
ZINC01536333	DUD_ace_D_184	Cc1c(F)c(NCCNC=O)cc2c1c(=O)c(C(=O)[O-])cn2C1CC1
ZINC01536831	DUD_ace_D_185	O=C(NCCS(=O)(=O)[O-])C(CS)Cc1ccccc1
ZINC01536832	DUD_ace_D_186	CC(=O)SCC(Cc1ccccc1)C(=O)NCS(=O)(=O)[O-]
ZINC01536839	DUD_ace_D_187	CC(=O)SCC(Cc1ccccc1)C(=O)NCCS(=O)(=O)[O-]
ZINC01537488	DUD_ace_D_188	O=C([O-])C1=C(Cl)CSC2C(NC(=O)COc3ccccc3)C(=O)N12
ZINC01541123	DUD_ace_D_189	CC(c1cc2ccccc2s1)N(OC(=O)CCCC(=O)[O-])C(N)=O
ZINC01541124	DUD_ace_D_190	CC(c1cc2ccccc2s1)N(OC(=O)CCC(=O)[O-])C(N)=O
ZINC01541817	DUD_ace_D_191	CCC(C)C([S-])C(=O)NC1CSc2ccccc2N(CC(=O)[O-])C1=O
ZINC01541980	DUD_ace_D_192	Cn1c(=O)cc(-c2ccccc2)nc1CNC(=O)CCCC(=O)[O-]
ZINC01544958	DUD_ace_D_193	CC(NC(=O)C(Cc1ccccc1)C(=O)CC#N)C(=O)[O-]
ZINC01544959	DUD_ace_D_194	CC(C)CC(NC(=O)C(Cc1ccccc1)C(=O)CC#N)C(=O)[O-]
ZINC01546644	DUD_ace_D_195	CC(C)C(NC(=O)c1cc2ccccc2n1C)C(=O)NC(C=O)CC(=O)[O-]
ZINC01549993	DUD_ace_D_196	CC(NC(=O)c1cc2ccccc2n1C)C(=O)NC(C=O)CC(=O)[O-]
ZINC01550454	DUD_ace_D_197	CC(C)C(OC(=O)Nc1ccccc1)C(=O)NC(CC(=O)[O-])C(=O)CF
ZINC01551652	DUD_ace_D_198	O=C(NCc1ccccc1)C1CCC2CN1C(=O)N2OS(=O)(=O)[O-]
ZINC01552491	DUD_ace_D_199	O=C([O-])C(O)CNC(=O)C(CS)Cc1ccccc1
ZINC01557190	DUD_ace_D_200	CC(C)(Oc1ccc(Cl)cc1)C(=O)NC(CS(C)(=O)=O)C(=O)[O-]
ZINC01574050	DUD_ace_D_201	O=C(CI)NCCNc1cccc2c1cccc2S(=O)(=O)[O-]
ZINC01575531	DUD_ace_D_202	CSCCC(NC(=O)OCc1ccccc1)C(=O)NCC(=O)[O-]
ZINC01575969	DUD_ace_D_203	CSCCC(NC(=O)C(C)NC(=O)OCc1ccccc1)C(=O)[O-]
ZINC01576000	DUD_ace_D_204	CCCC(NC(=O)CNC(=O)OCc1ccccc1)C(=O)[O-]
ZINC01576012	DUD_ace_D_205	CCCC(NC(=O)OCc1ccccc1)C(=O)NC(CO)C(=O)[O-]
ZINC01576054	DUD_ace_D_206	CC(=O)NC(CCCCNC(=O)OCc1ccccc1)C(=O)[O-]
ZINC01576179	DUD_ace_D_207	CC(NC(=O)CN(C)C(=O)OCc1ccccc1)C(=O)[O-]
ZINC01576183	DUD_ace_D_208	CC(C)C(NC(=O)CN(C)C(=O)OCc1ccccc1)C(=O)[O-]
ZINC01628895	DUD_ace_D_209	CC(=O)NC(CCCCNC(=O)OCc1ccccc1)C(=O)[O-]
ZINC01653630	DUD_ace_D_210	CC(=O)C=C(O)c1[nH]c(C(=O)[O-])cc1C1CCN(Cc2ccccc2)C1=O
ZINC01653630	DUD_ace_D_211	CC(=O)C=C(O)c1[nH]c(C(=O)[O-])cc1C1CCN(Cc2ccccc2)C1=O
ZINC01653630	DUD_ace_D_212	CC(O)=CC(=O)c1[nH]c(C(=O)[O-])cc1C1CCN(Cc2ccccc2)C1=O
ZINC01653630	DUD_ace_D_213	CC(O)=CC(=O)c1[nH]c(C(=O)[O-])cc1C1CCN(Cc2ccccc2)C1=O
ZINC01653630	DUD_ace_D_214	CC(=O)CC(=O)c1[nH]c(C(=O)[O-])cc1C1CCN(Cc2ccccc2)C1=O
ZINC01661265	DUD_ace_D_215	CC(=O)NC(CCC(=O)c1ccc(Cl)cc1)C(=O)[O-]
ZINC01661266	DUD_ace_D_216	CC(=O)NC(CCC(=O)c1ccc(C)cc1)C(=O)[O-]
ZINC01663962	DUD_ace_D_217	CC(=O)NC(CCC(=O)c1ccc(Br)cc1)C(=O)[O-]
ZINC01664712	DUD_ace_D_218	CC(=O)NC(CCC(=O)c1ccc(-c2ccccc2)cc1)C(=O)[O-]
ZINC01664993	DUD_ace_D_219	CC(=O)Nc1ccc(C(=O)CCC(NC(C)=O)C(=O)[O-])cc1
ZINC01666073	DUD_ace_D_220	COc1ccc(C(=O)CCC(NC(C)=O)C(=O)[O-])cc1
ZINC01668563	DUD_ace_D_221	CC(C)CC(NC(=O)COc1ccc(F)cc1)C(=O)[O-]
ZINC01705150	DUD_ace_D_222	CCCCC(SC(CC)(C(N)=O)c1ccccc1)C(=O)[O-]
ZINC01743954	DUD_ace_D_223	COc1cc(OC)nc(Oc2ccccc2C(=O)NCC(=O)NCC(=O)[O-])n1
ZINC01748613	DUD_ace_D_224	Nc1ccc(CNC(=O)COc2ccc(Cl)cc2C(=O)[O-])cc1
ZINC01750389	DUD_ace_D_225	Cc1cc(=O)oc2cc(OCC(=O)NCCC(=O)[O-])ccc12
ZINC01750392	DUD_ace_D_226	Cc1cc(=O)oc2cc(OCC(=O)NC(CC(C)C)C(=O)[O-])ccc12
ZINC01750406	DUD_ace_D_227	Cc1cc(=O)oc2cc(OCC(=O)NCCCC(=O)[O-])ccc12
ZINC01750412	DUD_ace_D_228	CSCCC(NC(=O)COc1ccc2c(C)cc(=O)oc2c1)C(=O)[O-]
ZINC01750414	DUD_ace_D_229	CCCC(NC(=O)C(C)Oc1ccc2c(C)cc(=O)oc2c1)C(=O)[O-]
ZINC01750420	DUD_ace_D_230	CSCCC(NC(=O)C(C)Oc1ccc2c(C)cc(=O)oc2c1)C(=O)[O-]
ZINC01750422	DUD_ace_D_231	CSCCC(NC(=O)C(C)Oc1ccc2c(C)cc(=O)oc2c1)C(=O)[O-]
ZINC01750424	DUD_ace_D_232	CSCCC(NC(=O)C(C)Oc1ccc2c(C)cc(=O)oc2c1)C(=O)[O-]
ZINC01792778	DUD_ace_D_233	CCCOc1ccc(-c2csc3ncn(CC(N)=O)c(=O)c23)cc1
ZINC01795269	DUD_ace_D_234	C=C1Nc2nc(CCCO)nn2C(c2ccccc2F)C1C(N)=O
ZINC01795301	DUD_ace_D_235	C=C1Nc2nc(CCCO)nn2C(c2cccs2)C1C(N)=O
ZINC01839341	DUD_ace_D_236	CCC(C)N1C(=O)C(=CNc2ccc(C(=O)[O-])cc2)C(=O)N=C1S
ZINC01840345	DUD_ace_D_237	CC(C)(C)c1ccc(C(=O)NCC(=O)NCC(=O)[O-])cc1
ZINC01885530	DUD_ace_D_238	CC(C)C(CP(=O)([O-])[O-])NC(=O)Cc1ccccc1
